"filename", "language", "JSON", "Markdown", "Python", "JavaScript", "toml", "pip requirements", "HTML", "CSS", "SCSS", "MS SQL", "JSON with Comments", "comment", "blank", "total"
"c:\Users\jonsa\Documents\CodingProjects\Converge\flask_app\controllers\users.py", "Python", 0, 0, 117, 0, 0, 0, 0, 0, 0, 0, 0, 0, 38, 155
"c:\Users\jonsa\Documents\CodingProjects\Converge\flask_app\models\action_item.py", "Python", 0, 0, 69, 0, 0, 0, 0, 0, 0, 0, 0, 0, 14, 83
"c:\Users\jonsa\Documents\CodingProjects\Converge\flask_app\models\category.py", "Python", 0, 0, 84, 0, 0, 0, 0, 0, 0, 0, 0, 1, 18, 103
"c:\Users\jonsa\Documents\CodingProjects\Converge\flask_app\models\duration.py", "Python", 0, 0, 74, 0, 0, 0, 0, 0, 0, 0, 0, 0, 16, 90
"c:\Users\jonsa\Documents\CodingProjects\Converge\flask_app\models\flex_task.py", "Python", 0, 0, 103, 0, 0, 0, 0, 0, 0, 0, 0, 0, 29, 132
"c:\Users\jonsa\Documents\CodingProjects\Converge\flask_app\models\goal.py", "Python", 0, 0, 276, 0, 0, 0, 0, 0, 0, 0, 0, 69, 47, 392
"c:\Users\jonsa\Documents\CodingProjects\Converge\flask_app\models\milestone.py", "Python", 0, 0, 70, 0, 0, 0, 0, 0, 0, 0, 0, 0, 16, 86
"c:\Users\jonsa\Documents\CodingProjects\Converge\flask_app\models\practice.py", "Python", 0, 0, 176, 0, 0, 0, 0, 0, 0, 0, 0, 0, 30, 206
"c:\Users\jonsa\Documents\CodingProjects\Converge\flask_app\models\routine.py", "Python", 0, 0, 306, 0, 0, 0, 0, 0, 0, 0, 0, 26, 68, 400
"c:\Users\jonsa\Documents\CodingProjects\Converge\flask_app\models\routine_template.py", "Python", 0, 0, 117, 0, 0, 0, 0, 0, 0, 0, 0, 0, 22, 139
"c:\Users\jonsa\Documents\CodingProjects\Converge\flask_app\models\subcategory.py", "Python", 0, 0, 56, 0, 0, 0, 0, 0, 0, 0, 0, 0, 20, 76
"c:\Users\jonsa\Documents\CodingProjects\Converge\flask_app\models\user.py", "Python", 0, 0, 156, 0, 0, 0, 0, 0, 0, 0, 0, 93, 51, 300
"c:\Users\jonsa\Documents\CodingProjects\Converge\flask_app\models\user_response.py", "Python", 0, 0, 266, 0, 0, 0, 0, 0, 0, 0, 0, 60, 93, 419
"c:\Users\jonsa\Documents\CodingProjects\Converge\flask_app\models\user_survey.py", "Python", 0, 0, 193, 0, 0, 0, 0, 0, 0, 0, 0, 10, 49, 252
"c:\Users\jonsa\Documents\CodingProjects\Converge\flask_app\models_deprecated.py\health_goal_deprecated.py", "Python", 0, 0, 14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 18
"c:\Users\jonsa\Documents\CodingProjects\Converge\flask_app\models_deprecated.py\time_domain_deprecated.py", "Python", 0, 0, 87, 0, 0, 0, 0, 0, 0, 0, 0, 1, 19, 107
"c:\Users\jonsa\Documents\CodingProjects\Converge\flask_app\scss\custom.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\jonsa\Documents\CodingProjects\Converge\flask_app\static\css\style.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 154, 0, 0, 0, 44, 38, 236
"c:\Users\jonsa\Documents\CodingProjects\Converge\flask_app\static\js\action-item-manager.js", "JavaScript", 0, 0, 0, 87, 0, 0, 0, 0, 0, 0, 0, 2, 15, 104
"c:\Users\jonsa\Documents\CodingProjects\Converge\flask_app\static\js\add-action-items-deprecated.js", "JavaScript", 0, 0, 0, 36, 0, 0, 0, 0, 0, 0, 0, 1, 7, 44
"c:\Users\jonsa\Documents\CodingProjects\Converge\flask_app\static\js\dashboard-manager.js", "JavaScript", 0, 0, 0, 75, 0, 0, 0, 0, 0, 0, 0, 1, 20, 96
"c:\Users\jonsa\Documents\CodingProjects\Converge\flask_app\static\js\goal-manager.js", "JavaScript", 0, 0, 0, 255, 0, 0, 0, 0, 0, 0, 0, 5, 19, 279
"c:\Users\jonsa\Documents\CodingProjects\Converge\flask_app\static\js\horizontal-scroll.js", "JavaScript", 0, 0, 0, 61, 0, 0, 0, 0, 0, 0, 0, 7, 11, 79
"c:\Users\jonsa\Documents\CodingProjects\Converge\flask_app\static\js\milestone-manager.js", "JavaScript", 0, 0, 0, 117, 0, 0, 0, 0, 0, 0, 0, 5, 14, 136
"c:\Users\jonsa\Documents\CodingProjects\Converge\flask_app\static\js\routine-manager.js", "JavaScript", 0, 0, 0, 69, 0, 0, 0, 0, 0, 0, 0, 8, 15, 92
"c:\Users\jonsa\Documents\CodingProjects\Converge\flask_app\static\js\save-goal.js", "JavaScript", 0, 0, 0, 135, 0, 0, 0, 0, 0, 0, 0, 39, 30, 204
"c:\Users\jonsa\Documents\CodingProjects\Converge\flask_app\static\js\search-filter-practices.js", "JavaScript", 0, 0, 0, 155, 0, 0, 0, 0, 0, 0, 0, 20, 35, 210
"c:\Users\jonsa\Documents\CodingProjects\Converge\flask_app\static\js\sortable-containers.js", "JavaScript", 0, 0, 0, 33, 0, 0, 0, 0, 0, 0, 0, 3, 8, 44
"c:\Users\jonsa\Documents\CodingProjects\Converge\flask_app\static\js\swiper.js", "JavaScript", 0, 0, 0, 23, 0, 0, 0, 0, 0, 0, 0, 3, 2, 28
"c:\Users\jonsa\Documents\CodingProjects\Converge\flask_app\static\js\timeframe-to-date.js", "JavaScript", 0, 0, 0, 55, 0, 0, 0, 0, 0, 0, 0, 0, 13, 68
"c:\Users\jonsa\Documents\CodingProjects\Converge\flask_app\static\js\ui-effects.js", "JavaScript", 0, 0, 0, 12, 0, 0, 0, 0, 0, 0, 0, 5, 6, 23
"c:\Users\jonsa\Documents\CodingProjects\Converge\flask_app\static\js\user-surveys.js", "JavaScript", 0, 0, 0, 342, 0, 0, 0, 0, 0, 0, 0, 126, 95, 563
"c:\Users\jonsa\Documents\CodingProjects\Converge\flask_app\templates\auth\login.html", "HTML", 0, 0, 0, 0, 0, 0, 53, 0, 0, 0, 0, 0, 4, 57
"c:\Users\jonsa\Documents\CodingProjects\Converge\flask_app\templates\auth\registration.html", "HTML", 0, 0, 0, 0, 0, 0, 65, 0, 0, 0, 0, 0, 7, 72
"c:\Users\jonsa\Documents\CodingProjects\Converge\flask_app\templates\dashboard\dashboard.html", "HTML", 0, 0, 0, 0, 0, 0, 473, 0, 0, 0, 0, 49, 47, 569
"c:\Users\jonsa\Documents\CodingProjects\Converge\flask_app\templates\dashboard\dashboard_intro.html", "HTML", 0, 0, 0, 0, 0, 0, 440, 0, 0, 0, 0, 49, 39, 528
"c:\Users\jonsa\Documents\CodingProjects\Converge\flask_app\templates\dashboard\dashboard_intro_am_practices.html", "HTML", 0, 0, 0, 0, 0, 0, 475, 0, 0, 0, 0, 49, 38, 562
"c:\Users\jonsa\Documents\CodingProjects\Converge\flask_app\templates\dashboard\new_user.html", "HTML", 0, 0, 0, 0, 0, 0, 76, 0, 0, 0, 0, 0, 3, 79
"c:\Users\jonsa\Documents\CodingProjects\Converge\flask_app\templates\goals\health_goal_selector.html", "HTML", 0, 0, 0, 0, 0, 0, 102, 0, 0, 0, 0, 0, 5, 107
"c:\Users\jonsa\Documents\CodingProjects\Converge\flask_app\templates\goals\quiz_health_goals.html", "HTML", 0, 0, 0, 0, 0, 0, 303, 0, 0, 0, 0, 3, 2, 308
"c:\Users\jonsa\Documents\CodingProjects\Converge\flask_app\templates\goals\set_goal_intro.html", "HTML", 0, 0, 0, 0, 0, 0, 437, 0, 0, 0, 0, 32, 21, 490
"c:\Users\jonsa\Documents\CodingProjects\Converge\flask_app\templates\goals\set_goal_intro_select_subcat.html", "HTML", 0, 0, 0, 0, 0, 0, 221, 0, 0, 0, 0, 3, 26, 250
"c:\Users\jonsa\Documents\CodingProjects\Converge\flask_app\templates\goals\set_goals_for_category_likely_deprecated.html", "HTML", 0, 0, 0, 0, 0, 0, 347, 0, 0, 0, 0, 78, 18, 443
"c:\Users\jonsa\Documents\CodingProjects\Converge\flask_app\templates\goals\set_goals_template.html", "HTML", 0, 0, 0, 0, 0, 0, 176, 0, 0, 0, 0, 6, 0, 182
"c:\Users\jonsa\Documents\CodingProjects\Converge\flask_app\templates\home\dashboard_OG.html", "HTML", 0, 0, 0, 0, 0, 0, 272, 0, 0, 0, 0, 73, 7, 352
"c:\Users\jonsa\Documents\CodingProjects\Converge\flask_app\templates\home\goals_dashboard_test.html", "HTML", 0, 0, 0, 0, 0, 0, 73, 0, 0, 0, 0, 3, 9, 85
"c:\Users\jonsa\Documents\CodingProjects\Converge\flask_app\templates\home\index.html", "HTML", 0, 0, 0, 0, 0, 0, 50, 0, 0, 0, 0, 104, 1, 155
"c:\Users\jonsa\Documents\CodingProjects\Converge\flask_app\templates\home\intro.html", "HTML", 0, 0, 0, 0, 0, 0, 114, 0, 0, 0, 0, 17, 0, 131
"c:\Users\jonsa\Documents\CodingProjects\Converge\flask_app\templates\login_registration_deprecated.html", "HTML", 0, 0, 0, 0, 0, 0, 90, 0, 0, 0, 0, 1, 9, 100
"c:\Users\jonsa\Documents\CodingProjects\Converge\flask_app\templates\routines\am_routine_build_your_own.html", "HTML", 0, 0, 0, 0, 0, 0, 218, 0, 0, 0, 0, 10, 8, 236
"c:\Users\jonsa\Documents\CodingProjects\Converge\flask_app\templates\routines\am_routine_builder.html", "HTML", 0, 0, 0, 0, 0, 0, 174, 0, 0, 0, 0, 8, 7, 189
"c:\Users\jonsa\Documents\CodingProjects\Converge\flask_app\templates\routines\am_routine_intro_build_your_own.html", "HTML", 0, 0, 0, 0, 0, 0, 258, 0, 0, 0, 0, 10, 10, 278
"c:\Users\jonsa\Documents\CodingProjects\Converge\flask_app\templates\routines\am_routine_intro_carousel.html", "HTML", 0, 0, 0, 0, 0, 0, 87, 0, 0, 0, 0, 6, 11, 104
"c:\Users\jonsa\Documents\CodingProjects\Converge\flask_app\templates\routines\routines_template.html", "HTML", 0, 0, 0, 0, 0, 0, 181, 0, 0, 0, 0, 8, 2, 191
"c:\Users\jonsa\Documents\CodingProjects\Converge\flask_app\templates\surveys\day_map.html", "HTML", 0, 0, 0, 0, 0, 0, 183, 0, 0, 0, 0, 7, 6, 196
"c:\Users\jonsa\Documents\CodingProjects\Converge\flask_app\templates\surveys\discipline_motivation_focus_map.html", "HTML", 0, 0, 0, 0, 0, 0, 156, 0, 0, 0, 0, 32, 8, 196
